exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,dropout,comb_type,bs
2024-08-02 01:03,43187.7,46.86902618408203,93020.58,-16.1464900970459,85032.484,-12.67270278930664,13,85434.766,26.842241287231445,59814.523,34.16100311279297,83593.914,2.491705894470215,8,83593.914,2.491705894470215,59814.523,34.16100311279297,85434.766,26.842241287231445,8,16,0.032,308,698,726,128,8,11,0.61,add,1024
2024-08-02 03:59,37040.707,59.84717178344727,72430.18,19.7320613861084,75076.0,17.07685661315918,10,136745.66,11.55608081817627,243705.3,-43.36873626708984,100634.75,20.704160690307617,1,71203.43,24.347820281982425,47113.902,52.04131317138672,71769.33,38.94793319702149,4,28,0.08,396,770,772,256,11,15,0.61,add,256
2024-08-02 04:03,38763.312,57.92814254760742,82663.6,29.41175079345703,80121.22,21.076845169067383,21,72951.34,37.45730209350586,47254.375,49.84083557128906,71755.695,31.764524459838867,12,69284.586,40.20111846923828,54409.945,46.30759048461914,73681.96,49.51588439941406,8,20,0.047,422,766,742,128,7,15,0.64,add,1024
2024-08-02 00:27,33579.06,68.10298156738281,103670.47,-10.922398567199709,81538.58,8.29557991027832,20,95141.08,-8.182429313659668,43202.223,55.30958557128906,88568.79,-7.202844142913818,11,74974.46,42.82087707519531,45444.324,52.5806884765625,82208.37,48.395790100097656,6,16,0.038,370,792,720,64,10,14,0.5900000000000001,add,512
2024-08-01 23:48,34546.73,60.54362106323242,82255.75,-1.143727421760559,90591.555,-22.771324157714844,13,77489.56,40.12260437011719,51727.65,47.94318771362305,73907.414,35.902584075927734,4,71244.89,20.855024337768555,49023.19,48.12536239624024,74689.44,26.7187557220459,3,16,0.047,376,674,808,256,16,15,0.64,add,256
2024-08-02 01:09,32936.52,62.92949295043945,94554.7,1.0289864540100098,77138.67,22.27409172058105,20,74638.94,50.94087219238281,73131.83,40.17694091796875,66556.77,47.9296875,1,66556.77,47.9296875,73131.83,40.17694091796875,74638.94,50.94087219238281,1,16,0.01,320,576,794,64,10,15,0.65,add,1024
2024-08-02 04:04,30950.213,66.74170684814453,78529.71,30.483442306518555,73287.805,25.20488929748535,16,81664.34,51.40988540649414,76109.6,43.05337142944336,73483.05,53.0615234375,1,68831.414,41.71924591064453,44340.29,55.82876205444336,81853.49,45.231544494628906,7,16,0.026,336,730,774,128,10,15,0.66,add,128
2024-08-02 03:56,31452.879,68.85157775878906,104590.93,-25.84987449645996,84274.555,12.33439826965332,20,73879.484,18.034330368041992,43058.195,50.82723617553711,75757.266,3.913056373596192,10,73572.27,35.872100830078125,45122.457,49.42892837524414,74752.414,41.425743103027344,8,20,0.036,430,702,876,64,13,13,0.68,add,512
2024-08-02 03:37,36964.88,62.61838150024414,72454.56,41.69612884521485,81917.73,21.10329246520996,15,80728.266,52.186126708984375,61609.266,47.11486053466797,80803.74,53.51025772094727,1,68650.016,39.08646011352539,38094.547,58.74286651611328,78879.87,37.5449447631836,10,24,0.039,368,726,806,128,8,15,0.63,add,128
2024-08-02 02:01,39910.15,60.12859725952149,71357.48,42.601844787597656,68689.52,30.83030891418457,10,101470.68,35.73031997680664,131283.56,-20.06529998779297,91423.04,26.825485229492188,1,72687.93,52.59425354003906,48749.145,54.79863357543945,78036.28,52.35818099975586,3,24,0.091,484,628,852,64,10,14,0.62,add,256
2024-08-02 03:21,37549.59,63.8309211730957,73992.69,53.27776336669922,75432.43,44.82686614990234,11,70629.305,27.347579956054688,47160.215,46.09895324707031,84966.31,-11.44688320159912,4,68761.734,30.312559127807617,48894.12,49.73604202270508,68689.234,42.095550537109375,3,28,0.048,394,782,820,128,11,14,0.66,add,256
2024-08-02 05:08,35737.7,64.91854095458984,76535.54,40.07221603393555,86117.27,6.024321556091309,25,74764.12,48.51972961425781,51313.46,48.08315658569336,75915.45,34.18895721435547,10,69373.15,45.74207305908203,73482.37,35.520233154296875,77151.3,51.1292724609375,7,16,0.029,336,820,916,256,10,15,0.6000000000000001,add,1024
2024-08-02 02:45,38827.508,59.57637786865234,71328.41,35.0800895690918,83678.23,6.929225921630859,15,77325.195,29.84255027770996,62534.023,29.296480178833008,80710.586,12.18192195892334,1,69583.516,39.64731597900391,43509.297,58.60521697998047,76008.81,44.13682556152344,6,24,0.058,380,628,912,128,14,12,0.64,add,128
2024-08-01 23:02,42324.535,55.091094970703125,78297.14,37.762088775634766,77230.0,18.258623123168945,15,72810.05,43.97612762451172,46231.598,50.41030883789063,77577.64,18.426101684570312,6,73994.21,25.57679748535156,44136.125,48.45037841796875,78998.164,27.078781127929688,12,24,0.053,348,756,908,128,19,10,0.5,add,512
2024-08-02 04:07,33454.016,65.03858947753906,84805.98,22.45831680297852,74111.13,25.82306861877441,13,75704.98,54.263519287109375,52368.59,53.83201217651367,76870.625,54.833797454833984,1,69054.91,37.52686309814453,44505.0,55.92787170410156,79106.78,43.55127334594727,5,28,0.035,400,750,802,64,10,12,0.5800000000000001,add,128
