exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,hid_d,last_d,tok_conv_k,bs,norm_type,use_pos_enc,num_heads,fc_layer_type
2024-08-10 12:38,17.860954,96.61604309082033,353.79495,48.54030990600586,370.42706,38.92135238647461,70,750.07764,6.141890048980713,240.61911,58.600318908691406,456.85352,31.068883895874023,1,343.83374,38.89661407470703,114.40968,77.676513671875,439.08676,30.64544486999512,11,45,0.0006,1325,1064,9,128,batch,True,48,mha
2024-08-10 10:37,26.365072,94.96341705322266,380.8652,45.93562316894531,367.7719,44.63700485229492,45,366.37415,43.05644607543945,63.98573,86.90876770019531,367.35593,38.58561706542969,22,380.42776,44.79605102539063,81.328606,83.79612731933594,368.01947,47.00386428833008,16,41,0.0006,1207,1972,11,256,batch,True,12,mha
2024-08-10 05:58,47.922672,90.66136932373048,380.52383,42.472599029541016,352.2733,40.69878005981445,30,436.52246,48.579471588134766,267.52063,49.10906982421875,403.39343,48.09126663208008,1,351.4852,43.41409683227539,109.471535,80.84747314453125,389.17526,48.02082824707031,11,46,0.0004,1356,1288,9,128,layer,True,48,mha
2024-08-10 12:15,53.292778,89.46673583984375,391.76355,47.92575073242188,373.1233,46.18428802490234,31,445.4121,40.11928939819336,260.4161,50.10934829711914,387.44318,47.6363639831543,1,340.87973,32.72460174560547,122.33494,76.14810943603516,362.67032,41.77945327758789,12,48,0.0006,1347,877,9,128,layer,True,96,mha
2024-08-10 12:30,25.581455,95.15765380859376,367.7322,43.5439567565918,353.52527,37.976524353027344,49,430.32913,43.28760147094727,282.6995,52.31923294067383,379.40903,47.89228439331055,1,347.99127,40.7542610168457,49.195236,90.88574981689452,368.2059,45.61044692993164,30,47,0.0005,1399,1214,10,128,layer,True,12,mha
2024-08-10 04:04,29.8157,94.2179718017578,371.51132,47.01786804199219,384.0578,48.35929489135742,57,440.2466,42.4328727722168,260.5084,46.053829193115234,369.37448,47.834922790527344,1,351.8495,38.0484733581543,106.8384,76.350830078125,388.58063,36.1981086730957,17,46,0.0003,393,1300,8,128,layer,True,96,mha
2024-08-10 04:14,52.846176,89.13689422607422,383.4745,48.45768737792969,377.0489,43.65412139892578,31,394.5701,51.675537109375,126.09054,77.11634826660156,397.09824,48.60735321044922,10,357.06506,45.89909362792969,167.02629,69.90353393554688,396.7236,48.12408828735352,8,43,0.0014,713,1752,9,256,layer,True,96,mha
2024-08-10 02:50,31.120762,93.83051300048828,390.69412,45.64218521118164,390.4202,47.35977935791016,36,383.7092,44.9947624206543,67.397835,87.09051513671875,385.9548,47.18698501586914,18,382.67172,43.78532791137695,31.7243,93.90030670166016,391.6767,42.29468536376953,37,36,0.0014,836,1389,13,256,layer,True,12,mha
2024-08-10 05:12,23.85545,95.35430145263672,362.82666,44.661746978759766,376.08118,31.929975509643555,50,433.35895,48.022308349609375,270.42062,50.64113235473633,412.2865,47.67704391479492,1,365.11356,36.25644302368164,62.84795,87.96745300292969,365.4827,45.3026237487793,24,42,0.0006,747,1087,10,128,layer,True,12,mha
2024-08-10 05:37,28.99408,94.47233581542967,372.30786,48.186279296875,355.83057,42.06237411499024,41,443.30597,39.957637786865234,267.4104,50.45677947998047,367.46387,46.667572021484375,1,361.81946,47.32848739624024,101.19088,81.72993469238281,395.9199,49.004764556884766,14,45,0.0005,965,1163,9,128,layer,True,96,mha
2024-08-10 07:16,29.97791,94.0898895263672,362.0598,43.24068069458008,371.5832,35.3482551574707,49,352.4655,43.06574249267578,56.976505,89.00969696044922,366.18103,34.642921447753906,30,359.6255,33.301544189453125,259.9304,42.53449630737305,433.21484,35.83658981323242,3,35,0.0003,1130,1757,10,256,layer,True,48,mha
2024-08-10 03:10,25.996088,94.97660064697266,366.09958,42.35338973999024,361.8022,37.1978874206543,45,394.35056,49.09442901611328,256.6614,49.658451080322266,384.75513,45.624698638916016,1,352.66382,45.02479934692383,71.65138,86.95472717285156,386.23938,47.23190689086914,20,44,0.0004,1203,1848,7,128,layer,True,96,mha
2024-08-10 02:39,53.72148,89.95404052734375,457.3167,30.48869514465332,394.7837,40.58158493041992,28,979.6824,-0.6389648914337158,245.31839,53.55207824707031,447.45013,44.39027786254883,1,379.99,29.077125549316406,113.37474,78.54000854492188,450.68076,24.116668701171875,11,33,0.0012,1142,1047,11,128,batch,True,48,mha
2024-08-10 05:18,93.711334,81.31593322753906,415.58566,37.96805953979492,358.7642,35.453468322753906,21,373.81503,41.06675720214844,294.7796,40.16460800170898,359.8229,46.175777435302734,1,358.7642,35.453468322753906,93.711334,81.31593322753906,415.58566,37.96805953979492,21,37,0.0003,904,1260,8,256,layer,True,48,mha
2024-08-10 09:30,40.477734,92.41410064697266,388.57834,49.68521881103516,382.30014,44.40975570678711,31,397.18094,50.29009246826172,159.4928,75.77115631103516,377.6088,47.93085479736328,13,354.78888,39.5613899230957,117.79644,76.41802978515625,373.4109,41.827880859375,12,43,0.0007,1241,1492,9,256,layer,True,96,mha
2024-08-10 10:57,57.93217,89.26607513427734,400.3788,43.17335510253906,376.8169,38.04549789428711,34,442.46237,44.61055755615234,263.26138,48.93502807617188,405.09427,47.42370223999024,1,354.91937,29.972471237182617,118.15069,74.30525207519531,376.78683,39.21998977661133,14,41,0.0008,1226,1220,9,128,layer,True,12,mha
2024-08-10 06:04,21.60492,95.69036102294922,368.232,48.91780471801758,365.15646,45.65297317504883,62,927.70184,-13.670540809631348,238.75366,56.03132247924805,364.25858,31.720808029174805,1,349.56384,41.70213317871094,43.878857,91.67276000976562,359.2508,47.788211822509766,43,44,0.0004,1286,1642,10,128,batch,True,48,mha
2024-08-10 08:43,48.586857,90.02893829345703,376.68713,40.419620513916016,350.368,31.24208068847656,37,362.64438,28.717592239379883,82.73662,83.98897552490234,366.44504,16.337247848510742,20,349.19876,36.023834228515625,51.792675,90.58361053466795,377.04147,43.24073028564453,35,44,0.0005,1258,1545,9,256,batch,True,48,mha
2024-08-10 08:40,56.85157,88.82992553710938,373.10602,42.49420928955078,364.83008,32.13727569580078,28,413.26877,45.261844635009766,267.38672,41.3338737487793,359.05728,48.5489616394043,1,359.05728,48.5489616394043,267.38672,41.3338737487793,413.26877,45.261844635009766,1,40,0.0008,1310,1479,9,128,layer,True,48,mha
2024-08-10 02:47,62.211254,88.1198959350586,384.87576,36.723270416259766,387.72968,39.65657806396485,21,382.37888,28.90064239501953,234.76347,51.1187858581543,405.34302,36.77981948852539,3,375.35504,30.494796752929688,288.64618,40.30947494506836,391.7765,24.758665084838867,1,45,0.0004,522,1518,11,256,layer,True,48,mha
2024-08-10 09:57,55.49927,89.28679656982422,378.8491,47.8963737487793,386.9892,43.930782318115234,32,579.6731,26.741775512695312,236.02748,55.31039810180664,484.87726,34.19850540161133,1,377.4746,39.55739974975586,84.68242,83.0146713256836,381.6762,42.11226272583008,16,42,0.0008,1400,1309,10,128,batch,True,12,mha
2024-08-10 10:53,24.244818,95.36805725097656,370.85095,44.61530303955078,370.9936,36.73383331298828,49,663.59906,22.33281898498535,223.49323,56.50231552124024,462.3039,33.77776336669922,1,347.70264,27.54446792602539,98.65228,80.86141967773438,542.9,15.72626781463623,15,40,0.001,1308,1384,9,128,batch,True,12,mha
2024-08-10 10:10,36.645733,93.1526107788086,387.11148,48.943756103515625,372.39713,42.68602752685547,49,373.42444,49.93226623535156,45.515785,91.40585327148438,373.76877,45.34177017211914,43,360.38327,43.74287414550781,43.46651,91.9892807006836,380.11084,47.09246444702149,45,40,0.0008,1337,1072,8,256,layer,True,48,mha
2024-08-10 03:45,87.074936,82.94465637207031,413.69296,31.216217041015625,372.7719,30.24748420715332,21,373.52048,36.63141632080078,307.04767,42.493106842041016,357.7201,38.197715759277344,1,357.7201,38.197715759277344,307.04767,42.493106842041016,373.52048,36.63141632080078,1,43,0.0003,774,1559,7,512,layer,True,96,mha
2024-08-10 12:06,40.627613,91.92626190185548,367.64603,46.30622482299805,371.57812,39.88101959228516,47,417.96896,37.0869026184082,272.95364,46.590599060058594,350.4103,39.52117156982422,1,349.1547,39.78975296020508,86.31798,83.24530029296875,395.4573,43.5952033996582,17,46,0.0006,1156,892,9,128,layer,True,96,mha
2024-08-10 03:01,33.53978,93.36014556884766,405.63586,45.25267028808594,386.22174,44.43343734741211,34,403.2522,47.60950469970703,146.78014,71.25955963134766,367.23492,50.83324432373047,9,367.23492,50.83324432373047,146.78014,71.25955963134766,403.2522,47.60950469970703,9,37,0.0017,1340,1526,10,256,layer,True,96,mha
2024-08-10 07:40,32.050064,93.79097747802734,371.63623,44.53598785400391,367.52063,41.63468170166016,33,357.04984,39.07202911376953,103.37327,79.225830078125,369.66916,32.06774139404297,13,359.22446,38.22172927856445,33.97426,93.3763198852539,368.64444,42.75498962402344,32,43,0.0008,817,1584,13,256,layer,True,48,mha
2024-08-10 08:22,86.77368,83.72418975830078,860.3119,2.1785993576049805,357.09766,34.362281799316406,29,541.3953,36.46619415283203,245.65683,57.0855712890625,422.03522,42.93388748168945,1,351.83743,33.70359802246094,129.2175,80.41639709472656,420.208,31.493505477905277,15,43,0.0019,1423,898,9,128,batch,True,96,mha
2024-08-10 10:34,48.090668,90.47996520996094,376.68787,43.26513671875,353.61316,40.36999130249024,29,410.7279,34.47987365722656,275.03253,47.945011138916016,352.6751,40.332462310791016,1,336.13663,45.17781829833984,69.55345,86.83641815185547,381.24896,48.02693939208984,24,43,0.0006,1199,1080,9,128,layer,True,48,mha
2024-08-10 03:14,54.571888,89.28353881835938,403.9252,47.17043685913086,382.94516,40.64752960205078,27,411.79358,51.64176559448242,318.1433,43.65102005004883,348.22253,46.72492980957031,1,348.22253,46.72492980957031,318.1433,43.65102005004883,411.79358,51.64176559448242,1,45,0.0001,1584,1831,12,256,layer,True,48,mha
2024-08-10 13:15,25.23753,95.10716247558594,395.6409,46.96723175048828,350.9812,44.96602630615234,50,495.18735,43.73731994628906,273.72592,51.02799224853516,422.72913,45.93625259399414,1,341.3204,40.968292236328125,124.701454,78.800537109375,431.646,38.708099365234375,10,47,0.0004,1508,1182,9,128,layer,True,12,mha
2024-08-10 03:15,120.98371,74.100830078125,399.97946,31.65207290649414,372.65,24.816621780395508,21,385.0026,41.87688064575195,323.928,37.00517272949219,356.37393,26.57836151123047,1,353.1568,45.47087860107422,288.53256,45.95670700073242,386.45953,43.25547790527344,2,38,0.0003,492,1099,9,512,layer,True,48,mha
2024-08-10 02:34,43.49531,91.60073852539062,446.8067,36.29792404174805,380.74252,40.282108306884766,39,484.7106,25.45658302307129,102.876854,77.28485870361328,377.74573,22.96874237060547,20,369.40576,39.0657844543457,63.969,85.25089263916016,432.8269,35.45126724243164,32,41,0.0023,1768,459,12,512,batch,True,48,mha
2024-08-10 03:40,31.092737,93.98152923583984,364.285,44.16777038574219,356.82373,29.436182022094727,46,369.3211,45.05524063110352,57.630722,88.73541259765625,358.53763,33.8359489440918,27,349.34753,33.7752799987793,182.04535,62.45384216308594,386.12595,37.44693374633789,10,45,0.0002,666,1898,9,256,layer,True,48,mha
2024-08-10 02:38,23.413097,95.53994750976562,361.1468,42.704627990722656,394.86383,31.79607963562012,47,373.48727,41.757423400878906,282.0501,38.62763595581055,355.68234,37.01780700683594,1,355.68234,37.01780700683594,282.0501,38.62763595581055,373.48727,41.757423400878906,1,34,0.0003,754,813,7,128,layer,True,48,mha
2024-08-10 02:59,48.16433,91.02804565429688,378.6437,49.62165069580078,375.8475,40.22161102294922,28,414.89386,41.30036163330078,272.39236,49.87075424194336,370.75775,48.02442932128906,1,358.96426,46.83501815795898,241.77003,57.76568603515625,421.44318,41.823978424072266,2,41,0.0003,1070,868,9,128,layer,True,48,mha
