exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-17 18:30,231.55708,23.11016082763672,451.73737,-21.11722946166992,410.65033,-13.649930000305176,8,427.87024,-10.645896911621094,365.1554,3.560268878936768,393.00192,-31.75497817993164,6,393.00192,-31.75497817993164,365.1554,3.560268878936768,427.87024,-10.645896911621094,6,36,0.02,256,32,512,128,8,add,1100
2024-07-17 11:52,172.84174,-48.64281845092773,426.43143,,398.5826,,15,425.42844,-119.30655670166016,241.39114,,368.07758,,10,368.61697,-115.17046356201172,277.40143,,414.53506,,6,8,0.1,64,256,32,32,2,add,1100
2024-07-17 18:25,378.65472,32.85954666137695,493.69095,-1.863792061805725,461.2328,-30.572534561157227,8,449.1015,-51.396461486816406,394.70557,-56.06980514526367,375.51062,-61.6383171081543,3,375.51062,-61.6383171081543,394.70557,-56.06980514526367,449.1015,-51.396461486816406,3,28,0.02,256,32,256,128,16,add,1100
2024-07-17 17:11,181.83359,-42.41197967529297,456.39478,-259.8385314941406,414.29987,-239.63034057617188,12,412.6166,-176.3137969970703,260.65308,-84.73738861083984,384.07407,-198.4882659912109,4,374.94543,-154.78677368164062,272.5413,-74.80939483642578,415.7062,-127.21367645263672,3,8,0.005,256,256,256,32,2,add,1100
2024-07-17 18:39,315.094,-33.03765106201172,467.15082,-70.44506072998047,387.37018,-54.31488037109375,7,467.15082,-70.44506072998047,315.094,-33.03765106201172,387.37018,-54.31488037109375,7,387.37018,-54.31488037109375,315.094,-33.03765106201172,467.15082,-70.44506072998047,7,36,0.15,256,32,512,128,8,add,1100
2024-07-17 18:05,649.1842,-6.353818416595459,571.3845,-6.835484027862549,386.01703,-8.589771270751953,7,632.86505,-322.0364990234375,564.9543,-238.56105041503903,604.57135,-294.03814697265625,1,386.01703,-8.589771270751953,649.1842,-6.353818416595459,571.3845,-6.835484027862549,7,28,0.15,256,32,256,32,16,add,1100
2024-07-17 18:12,189.70566,49.569313049316406,479.80234,-106.17800903320312,449.22736,-46.382080078125,15,425.90744,-37.70787811279297,266.34637,25.77376747131348,418.95346,-12.091835021972656,14,365.2454,-27.060789108276367,799.13873,-64.0625228881836,528.838,-50.701202392578125,5,28,0.02,256,32,512,32,16,add,1100
2024-07-17 19:38,2787.2725,-880.7761840820312,3340.2097,-1596.341796875,3142.782,-1639.14990234375,6,15280.6875,-7632.09814453125,51215.746,-11443.287109375,30371.068,-13257.0654296875,1,30371.068,-13257.0654296875,51215.746,-11443.287109375,15280.6875,-7632.09814453125,1,36,0.15,256,64,512,32,32,add,1100
2024-07-17 12:11,281.4087,19.99480628967285,542.3689,,441.22522,,12,449.05997,-105.26390075683594,276.37457,,364.16916,,7,349.72885,-81.03472137451172,462.16086,,453.87195,,5,8,0.05,128,64,64,32,8,add,1100
2024-07-17 20:08,378.1872,12.259299278259276,473.45157,-3.9905500411987305,426.01462,-9.188626289367676,9,705.25946,-6.743129730224609,964.08344,-37.50574493408203,540.3183,-9.179091453552246,10,426.01462,-9.188626289367676,378.1872,12.259299278259276,473.45157,-3.9905500411987305,9,28,0.15,256,256,256,32,32,add,1100
