exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,vs,d,hd,ld,td,timed,pd,el,nh,cd,tck,fck,nt,sm,up,sl,mlp,ep,bs,lr,dp,wd
2024-08-22 09:34,11928.033,86.79012298583984,77376.35,35.15027618408203,74474.49,27.71500968933105,25,81268.875,9.222131729125977,70000.27,30.39319610595703,76815.42,13.25501823425293,1,72074.91,31.44769096374512,21928.154,76.8092041015625,75993.54,33.67010498046875,16,0.15,96,64,224,8,48,32,4,4,128,9,11,batch,none,False,8,False,60,128,0.0022,0.14,0.0026
2024-08-22 08:38,11743.609,86.21870422363281,81416.805,14.925992965698242,84703.32,-2.589690685272217,25,79691.71,17.925994873046875,67956.86,36.93896484375,75794.37,19.709211349487305,1,72818.54,25.03556632995605,31514.37,62.95196914672852,85337.76,26.06767463684082,3,0.25,96,64,224,12,52,36,4,4,128,9,5,batch,none,True,8,True,50,128,0.0026,0.16,0.0014
2024-08-22 10:11,14615.398,84.99433135986328,76688.36,35.18041229248047,75226.305,21.811336517333984,26,90194.59,-16.396570205688477,82081.734,9.856164932250977,83134.71,-7.0276618003845215,1,74464.56,26.27510452270508,19294.54,75.09243774414062,80348.42,26.279895782470703,16,0.2,96,64,160,12,36,36,5,4,192,7,9,layer,none,False,8,False,40,256,0.0046,0.16,0.0018
2024-08-22 10:55,13558.175,85.96429443359375,76455.914,37.73917388916016,79314.164,29.591327667236328,20,80130.984,23.71861267089844,28280.297,70.15826416015625,77723.51,27.50697135925293,8,73560.45,19.38116455078125,18974.975,79.90838623046875,73399.305,39.427005767822266,14,0.15,96,64,416,12,36,56,3,4,256,7,11,batch,none,False,8,False,50,256,0.0022,0.12,0.0019
2024-08-22 11:36,13109.176,87.19642639160156,73690.92,39.15058517456055,73756.36,36.37339401245117,22,80693.64,15.857511520385742,60445.812,42.8169059753418,73989.93,22.54244613647461,1,71373.375,22.90255355834961,18469.594,74.76911926269531,74668.59,29.65594482421875,24,0.1,96,64,160,12,40,60,3,4,192,9,9,layer,none,False,8,False,60,128,0.0027,0.14,0.0042
2024-08-22 10:02,12585.494,85.97953033447266,77314.22,34.275352478027344,76304.34,22.683460235595703,19,88705.63,-9.39500331878662,82087.36,15.465599060058594,81354.55,0.1581728458404541,1,74143.41,19.46111869812012,36190.08,59.98004150390625,81481.49,27.84113311767578,3,0.2,96,64,224,12,48,32,4,4,256,7,11,layer,none,False,8,False,50,256,0.0029,0.16,0.0025
2024-08-22 10:44,17326.764,81.1624984741211,86301.84,19.110727310180664,73708.14,38.655792236328125,23,77828.66,23.577171325683597,64163.566,42.5648193359375,75423.086,22.57489585876465,1,68659.516,28.830158233642575,32622.691,61.75948333740234,85156.65,14.191418647766112,3,0.15,96,64,416,12,44,48,4,4,256,7,5,batch,none,False,8,True,50,128,0.0052,0.14,0.0039
2024-08-22 10:48,6461.6924,93.13485717773438,71309.54,30.10312271118164,73748.29,27.047199249267575,37,69245.0,36.023624420166016,10589.727,87.95283508300781,73566.43,25.326324462890625,23,72817.97,26.408803939819336,17491.393,84.91483306884766,72041.44,25.9409122467041,22,0.1,96,64,480,12,40,48,4,4,256,7,11,layer,none,False,8,True,40,1024,0.003,0.14,0.0081
2024-08-22 10:39,8698.442,90.5334014892578,71710.44,37.556148529052734,68940.766,28.385478973388672,31,73996.41,35.31122970581055,16101.266,79.74996948242188,68763.336,29.91251373291016,18,68940.766,28.385478973388672,8698.442,90.5334014892578,71710.44,37.556148529052734,31,0.1,96,64,480,12,44,40,5,4,256,7,5,layer,none,True,8,False,50,256,0.0013,0.18,0.0029
2024-08-22 11:41,11347.763,89.26658630371094,75808.41,38.4786376953125,76633.42,24.41750144958496,26,81503.37,12.767863273620604,71433.56,31.82155418395996,76833.0,17.008346557617188,1,71695.19,33.034793853759766,29943.328,69.24927520751953,77044.805,39.27528762817383,3,0.15,96,64,224,12,36,36,5,4,256,9,11,layer,none,False,8,True,50,128,0.0032,0.12,0.0047
