exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,token_emb_kernel_size,comb_type,bs,dropout
2024-07-22 12:21,183.84706,17.5324649810791,442.0054,-41.30610656738281,400.37506,-37.194183349609375,15,420.9615,-11.578573226928713,409.40543,9.96943187713623,351.86368,-43.96142578125,9,365.6634,-24.17105865478516,495.56573,-19.09908866882324,485.01337,-11.25755786895752,6,34,0.0049,277,633,832,127,10,12,add,1100,
2024-07-23 19:28,160.11186,23.546018600463867,466.9193,-55.42259979248047,414.00873,-89.10826873779297,12,398.54385,-55.51016616821289,242.88101,-20.028322219848636,363.17,-95.7525405883789,3,347.43558,-37.37885665893555,247.54967,5.244863510131836,399.7469,-8.915740013122559,2,25,0.1512,247,873,890,92,5,14,add,128,0.5
2024-07-22 07:13,175.85876,53.8288688659668,446.4676,-12.546210289001465,437.07608,-25.60138511657715,21,382.93552,-26.14788055419922,338.3216,-0.8257128000259399,379.65024,-67.60099792480469,11,344.63773,-42.16741180419922,453.16214,-58.40804672241211,451.79407,-55.46783065795898,8,23,0.0036,263,553,918,136,19,13,add,1100,
2024-07-22 15:42,155.41383,36.8014030456543,469.56122,-22.04377555847168,401.50955,-14.509492874145508,22,397.98236,-22.9500789642334,214.70947,2.506945371627808,376.56992,-54.55692672729492,14,1081.1881,-469.6056823730469,1077.1168,-377.8650512695313,1011.307,-444.6555480957031,1,28,0.0203,164,774,873,131,6,13,add,1100,
2024-07-22 00:06,148.48605,54.798858642578125,432.20517,1.9096288681030276,427.76892,10.367647171020508,25,468.25067,9.391782760620115,291.15958,34.77787399291992,450.27148,12.684486389160156,21,441.0764,-5.757815837860107,584.6061,-0.5023742914199829,541.2688,-25.82909202575684,1,17,0.0038,348,713,737,126,18,13,add,1100,
2024-07-22 20:44,164.70168,40.87942123413086,473.03513,-34.697200775146484,390.58865,-57.2995491027832,18,401.08228,-46.6646842956543,278.6469,-14.939645767211914,359.92795,-86.11572265625,11,344.61636,-38.480899810791016,260.55807,2.262151002883911,424.79355,-9.721708297729492,9,31,0.0281,160,691,989,158,3,12,add,1100,
2024-07-23 19:18,145.7963,41.55909729003906,430.8607,-15.384090423583984,385.53192,-58.9478874206543,20,415.9492,-21.59848976135254,282.9983,13.707176208496094,403.6058,-56.78902816772461,14,362.8778,-29.929872512817383,162.89687,53.94353485107422,441.45322,-6.499038219451904,23,55,0.0062,435,533,924,92,15,14,add,1024,0.5
2024-07-23 05:56,221.11684,16.280250549316406,503.57422,-15.18156909942627,372.8763,-18.12181854248047,16,415.02658,-34.968345642089844,450.38376,-31.451887130737305,371.84814,-41.27768707275391,6,352.77112,2.50231409072876,274.95175,-0.1802123486995697,437.8412,13.192051887512209,9,38,0.0847,456,945,990,103,5,9,add,1100,0.3733589598384291
2024-07-23 00:23,217.76434,33.86711883544922,425.47284,-18.27372169494629,379.62396,-24.29705238342285,13,404.64133,-2.4536561965942383,244.68762,39.20792770385742,373.68835,-14.602002143859863,12,390.63083,-2.411769390106201,271.9887,41.93514251708984,418.48743,8.76699447631836,11,39,0.1359,358,573,831,160,23,10,add,1100,0.4072905296119274
2024-07-22 19:34,148.348,47.476829528808594,436.4986,-18.16482353210449,390.42288,-38.9478645324707,19,392.29224,-50.498512268066406,202.7058,9.98007106781006,360.16443,-101.21832275390624,13,331.2557,-49.89472579956055,242.22829,-0.293704628944397,418.71234,-24.42644500732422,9,36,0.0125,149,752,941,139,3,12,add,1100,
2024-07-23 21:17,139.29115,48.6331672668457,492.08923,-118.3280792236328,443.21298,-136.98336791992188,18,442.71692,-33.24140548706055,167.85164,42.16602325439453,413.28445,-19.020326614379883,11,346.5562,-10.523846626281738,274.22403,-12.536998748779297,478.74496,-18.022083282470703,3,54,0.0378,232,658,833,90,12,13,add,256,0.5
2024-07-22 13:50,184.20021,20.3876895904541,431.20587,-2.7550299167633057,377.66895,-15.641534805297852,14,391.15546,-17.929502487182617,359.5847,-30.44851493835449,394.1317,-18.997568130493164,4,342.89297,-25.17239761352539,318.12967,10.919719696044922,403.09885,-2.75577974319458,7,31,0.0131,181,717,930,100,7,13,add,1100,
2024-07-22 07:54,179.98422,24.085920333862305,440.19913,-67.05850219726562,398.15833,-83.01661682128906,13,425.16394,-22.50240707397461,222.86559,6.161957740783691,362.03067,-58.17973327636719,10,355.36316,-52.132904052734375,358.89758,-32.397071838378906,434.40854,-16.471923828125,4,29,0.0119,288,568,885,171,6,15,add,1100,
2024-07-23 01:33,174.86371,49.77788925170898,491.1471,-35.04548263549805,422.0659,-44.306976318359375,18,1037.5726,-591.23291015625,725.4077,-318.1527099609375,1427.6367,-691.2648315429688,1,1427.6367,-691.2648315429688,725.4077,-318.1527099609375,1037.5726,-591.23291015625,1,47,0.0133,458,740,1034,95,15,12,add,1100,0.3916164112909348
2024-07-23 04:12,161.41617,47.53374481201172,511.15485,-1.7295522689819336,441.85855,-10.570530891418455,24,402.82898,-6.845888137817383,229.54164,21.91572380065918,351.83105,-35.50929641723633,14,351.83105,-35.50929641723633,229.54164,21.91572380065918,402.82898,-6.845888137817383,14,28,0.0546,496,852,1170,113,16,14,add,1100,0.4480286805812579
2024-07-22 12:32,220.45074,1.4792842864990234,438.96185,-69.88280487060547,399.54065,-110.44029235839844,13,388.34003,-29.726882934570312,271.13712,8.269460678100586,345.09586,-41.37281799316406,8,345.09586,-41.37281799316406,271.13712,8.269460678100586,388.34003,-29.726882934570312,8,33,0.0238,321,534,946,136,4,12,add,1100,
2024-07-22 18:17,203.25044,26.647628784179688,461.5835,3.09309196472168,368.85013,-4.84747314453125,14,395.0077,-7.127725601196289,303.94186,2.749884366989136,331.25778,-16.225177764892578,9,336.43176,-10.528949737548828,299.45975,-8.218830108642578,373.21368,-7.909209251403809,8,35,0.0225,139,789,991,130,7,8,add,1100,
2024-07-22 15:44,206.08131,37.632545471191406,458.16,-6.635514259338379,385.38394,-8.46816635131836,14,394.5239,-25.02842330932617,257.96658,7.441761493682861,367.8979,-38.26899719238281,7,360.27454,-55.20014572143555,325.68054,12.370250701904297,412.57645,-37.88945388793945,8,31,0.0035,196,723,909,161,7,13,add,1100,
2024-07-23 02:17,195.57321,40.2646484375,496.0245,-50.475921630859375,451.7015,-116.76001739501952,18,433.52597,-46.77488327026367,208.9876,25.78486633300781,411.68054,-117.39956665039062,12,383.17856,-73.81166076660156,247.36897,26.189666748046875,433.60455,-20.53601837158203,11,37,0.0627,444,584,907,141,19,10,add,1100,0.4563665478750564
2024-07-23 05:25,199.50769,38.68190383911133,463.19952,-0.6822543740272522,398.635,7.833061218261719,18,410.29095,-79.44041442871094,281.02927,-15.775886535644531,388.91605,-117.50272369384766,13,337.5925,-18.73472023010254,321.8623,23.8122615814209,469.20813,-13.162812232971191,11,45,0.1246,392,966,1058,150,22,12,add,1100,0.3843174103351611
2024-07-22 10:02,131.38768,45.556034088134766,441.9155,-24.33822631835937,397.4342,-96.31468200683594,20,443.72742,-34.09556579589844,257.0767,1.0342580080032349,377.02417,-79.95146942138672,11,377.02417,-79.95146942138672,257.0767,1.0342580080032349,443.72742,-34.09556579589844,11,34,0.0135,370,717,950,140,12,15,add,1100,
2024-07-22 22:42,261.73004,39.13703155517578,432.53976,11.353436470031738,402.84915,3.424703598022461,12,379.84982,10.73528003692627,272.7466,37.83339691162109,367.37103,-13.57601833343506,11,367.37103,-13.57601833343506,272.7466,37.83339691162109,379.84982,10.73528003692627,11,43,0.1918,321,642,1088,153,18,7,add,1100,0.3926569220942876
2024-07-23 00:51,185.74454,39.56406021118164,488.0863,-107.0510482788086,404.20395,-104.22077941894533,19,407.4641,-36.20514297485352,255.9121,18.87277030944824,390.37775,-38.70983505249024,10,400.69608,-90.3001937866211,236.12567,21.95428466796875,452.9182,-57.09695816040039,12,43,0.1032,280,927,874,136,10,14,add,1100,0.4788311392545317
2024-07-22 11:21,194.75356,36.50746154785156,446.06567,2.6751766204833984,390.25427,6.1454243659973145,14,385.621,-3.939839839935303,266.23227,23.04986000061035,399.74945,5.944927215576172,5,343.10968,-39.438507080078125,262.04477,7.331670761108398,401.57462,-20.61351203918457,7,28,0.0072,151,673,873,114,6,14,add,1100,
2024-07-23 04:18,210.00233,-4.915750503540039,450.5383,-87.24072265625,393.5532,-115.64045715332033,19,419.76456,-49.49427032470703,255.03516,-7.700249671936035,347.04373,-66.92586517333984,9,329.9702,-22.544551849365234,281.407,4.541313171386719,432.44275,-15.03600788116455,8,45,0.0225,471,951,948,82,3,14,add,1100,0.3415378535998368
2024-07-22 11:41,163.4729,45.88172149658203,455.83145,-24.654146194458008,370.75464,-54.81051254272461,18,424.2264,-41.45648193359375,248.78955,15.28360366821289,363.18564,-81.02106475830078,8,355.76346,-69.66425323486328,287.98,5.4235453605651855,463.44934,-21.139760971069336,5,33,0.0044,211,617,882,150,6,11,add,1100,
