time,power
2024-01-03 20:00:00,57044.49999999998
2024-01-03 20:15:00,71000.23999999999
2024-01-03 20:30:00,93562.70999999995
2024-01-03 20:45:00,113526.29500000001
2024-01-03 21:00:00,129601.75500000002
2024-01-03 21:15:00,158636.79
2024-01-03 21:30:00,191722.11000000004
2024-01-03 21:45:00,204299.29
2024-01-03 22:00:00,200102.65000000008
2024-01-03 22:15:00,210850.00249999997
2024-01-03 22:30:00,216048.40999999995
2024-01-03 22:45:00,213459.13999999996
2024-01-03 23:00:00,214350.065
2024-01-03 23:15:00,214420.18999999994
2024-01-03 23:30:00,225473.82000000007
2024-01-03 23:45:00,230586.915
2024-01-04 00:00:00,226654.87999999992
2024-01-04 00:15:00,228377.745
2024-01-04 00:30:00,226357.53499999995
2024-01-04 00:45:00,225837.21499999997
2024-01-04 01:00:00,229827.31000000003
2024-01-04 01:15:00,231619.39749999996
2024-01-04 01:30:00,234426.79
2024-01-04 01:45:00,234062.0575
2024-01-04 02:00:00,240853.57000000007
2024-01-04 02:15:00,245228.82999999996
2024-01-04 02:30:00,245943.83000000007
2024-01-04 02:45:00,248538.05000000002
2024-01-04 03:00:00,246021.9
2024-01-04 03:15:00,233574.77000000002
2024-01-04 03:30:00,214005.57000000004
2024-01-04 03:45:00,200937.145
2024-01-04 04:00:00,194385.1900000001
2024-01-04 04:15:00,184810.065
2024-01-04 04:30:00,169945.36999999997
2024-01-04 04:45:00,175738.60500000004
2024-01-04 05:00:00,177954.44000000006
2024-01-04 05:15:00,161779.37000000002
2024-01-04 05:30:00,151048.02
2024-01-04 05:45:00,154009.78500000003
2024-01-04 06:00:00,139380.6
2024-01-04 06:15:00,129799.76999999997
2024-01-04 06:30:00,122608.37000000001
2024-01-04 06:45:00,117959.63750000001
2024-01-04 07:00:00,98084.79000000001
2024-01-04 07:15:00,73302.69499999999
2024-01-04 07:30:00,73823.72000000002
2024-01-04 07:45:00,93904.03
2024-01-04 08:00:00,115408.58
2024-01-04 08:15:00,122143.01500000001
2024-01-04 08:30:00,125539.47
2024-01-04 08:45:00,126487.51
2024-01-04 09:00:00,131490.89
2024-01-04 09:15:00,141497.47000000003
2024-01-04 09:30:00,156316.0
2024-01-04 09:45:00,144443.73
2024-01-04 10:00:00,124769.75000000003
2024-01-04 10:15:00,118375.9175
2024-01-04 10:30:00,119718.16999999997
2024-01-04 10:45:00,118419.24999999999
2024-01-04 11:00:00,121230.13
2024-01-04 11:15:00,108722.02500000004
2024-01-04 11:30:00,100139.56
2024-01-04 11:45:00,99486.18
2024-01-04 12:00:00,94961.68000000001
2024-01-04 12:15:00,85926.36500000003
2024-01-04 12:30:00,77263.17000000004
2024-01-04 12:45:00,76014.18499999998
2024-01-04 13:00:00,77760.66000000003
2024-01-04 13:15:00,67194.925
2024-01-04 13:30:00,57204.06999999998
2024-01-04 13:45:00,49781.06999999999
2024-01-04 14:00:00,47336.175
2024-01-04 14:15:00,46533.639999999985
2024-01-04 14:30:00,46342.319999999985
2024-01-04 14:45:00,49035.49500000001
2024-01-04 15:00:00,53333.99999999999
2024-01-04 15:15:00,57468.095
2024-01-04 15:30:00,60711.31000000001
2024-01-04 15:45:00,62998.58500000001
2024-01-04 16:00:00,68204.64000000001
2024-01-04 16:15:00,73607.05749999998
2024-01-04 16:30:00,87682.53999999998
2024-01-04 16:45:00,96943.73500000003
2024-01-04 17:00:00,87166.60000000002
2024-01-04 17:15:00,86755.62999999999
2024-01-04 17:30:00,85220.24000000003
2024-01-04 17:45:00,84691.00499999999
2024-01-04 18:00:00,97208.48999999999
2024-01-04 18:15:00,89018.67000000001
2024-01-04 18:30:00,81226.39000000001
2024-01-04 18:45:00,85209.59750000002
2024-01-04 19:00:00,85887.01
2024-01-04 19:15:00,90016.565
2024-01-04 19:30:00,95508.48000000001
2024-01-04 19:45:00,101233.53500000002
2024-01-04 20:00:00,110437.84
2024-01-04 20:15:00,111903.87000000001
2024-01-04 20:30:00,111363.04000000001
2024-01-04 20:45:00,115322.19500000002
2024-01-04 21:00:00,108285.39
2024-01-04 21:15:00,107776.18
2024-01-04 21:30:00,106855.43
2024-01-04 21:45:00,110284.22499999998
2024-01-04 22:00:00,104574.76999999999
2024-01-04 22:15:00,100788.295
2024-01-04 22:30:00,112853.96999999999
2024-01-04 22:45:00,102536.71000000002
2024-01-04 23:00:00,107290.89000000001
2024-01-04 23:15:00,113141.73999999999
2024-01-04 23:30:00,109985.65000000001
2024-01-04 23:45:00,99548.635
2024-01-05 00:00:00,82565.66999999997
2024-01-05 00:15:00,70128.885
2024-01-05 00:30:00,67836.01
2024-01-05 00:45:00,60233.95
2024-01-05 01:00:00,51005.469999999994
2024-01-05 01:15:00,48550.63500000002
