exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,True,False,16,0.005,48,96,512,32,4,12,13,128,11dropout,norm_type,num_heads,bs,0.001,64,8,6,9,5dropout,256,9dropout,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout
2024-08-17 23:04,7683.603,91.86119079589844,75240.03,44.03751373291016,73908.64,34.19009017944336,44,72858.625,37.66688919067383,13267.266,84.98319244384766,76210.44,26.67691802978516,29,79800.234,31.08609771728516,31420.633,70.95584869384766,86529.3,34.01806640625,6,conv_mlpconv,mha,seq_len,lr,d,,time_d,tok_d,e_layers,,,conv_out_d,feat_conv_k,,batch,4,1024,,last_d,,tok_conv_k,,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 23:22,22979.719,76.64728546142578,73966.95,44.80724334716797,78803.34,37.93204498291016,18,89530.734,-4.173351764678955,82057.67,12.556306838989258,82162.27,0.0565102659165859,1,71138.88,23.02219581604004,66395.05,33.95393753051758,93112.76,21.768526077270508,6,fullconv,seq_len,use_pos,lr,,,last_d,,e_layers,pos_d,,conv_out_d,tok_d,,batch,8,1024,d,feat_conv_k,tok_conv_k,,,,,0.2,,,,,,,,,,,,,,,,,
2024-08-17 23:22,12676.594,84.97080993652344,72948.0,42.55481719970703,72375.61,30.83832359313965,36,78128.3,43.41461181640625,25083.115,70.28083038330078,76030.125,30.884037017822266,22,75243.79,38.763580322265625,18527.055,80.86432647705078,76348.836,45.57720184326172,31,conv_mlpconv,seq_len,use_pos,e_layers,d,,hid_d,tok_d,,pos_d,tok_conv_k,,feat_conv_k,,batch,4,1024,,last_d,,,conv_out_d,0.2,,,,,,,,,,,,,,,,,,,
2024-08-18 00:47,9723.992,89.77945709228516,73709.766,50.191650390625,82955.47,19.35899543762207,48,72673.805,47.94293975830078,14636.09,84.92204284667969,82666.28,13.808547019958496,31,81104.78,4.265834331512451,82136.83,16.11336326599121,88667.87,-0.3929412961006164,1,full,,,,,,,,,,,,,,batch,48,1024,,,,,,,,,True,True,False,False,16.0,0.005,96.0,48.0,128.0,96.0,32.0,8.0,6.0,13.0,64.0,11.0,0.1
2024-08-17 23:49,8250.063,91.58977508544922,72894.766,45.9619026184082,73482.76,25.38396644592285,49,73323.02,46.31629943847656,11318.033,89.31428527832031,72062.17,25.82787704467773,38,71897.47,35.325523376464844,20430.246,75.56001281738281,80119.23,48.06191635131836,23,conv_mlpconv,use_pos,seq_len,lr,d,,,,pos_d,,tok_conv_k,,,,batch,16,1024,,feat_conv_k,e_layers,,conv_out_d,,tok_d,0.2,,,,,,,,,,,,,,,,,
2024-08-17 22:56,7604.496,91.95801544189452,72741.266,37.125465393066406,76593.71,6.991739749908447,44,73840.734,38.30266189575195,10679.821,88.7958755493164,77301.414,9.327404975891112,31,76347.08,11.365974426269531,17516.156,81.70476531982422,78380.305,35.817352294921875,22,conv_mlpconv,mha,seq_len,e_layers,d,,hid_d,,,,,conv_out_d,tok_d,0.1,batch,32,1024,,feat_conv_k,tok_conv_k,,,,,,,,,,,,,,,,,,,,,,
2024-08-18 00:46,9549.777,90.15911102294922,77295.58,34.496788024902344,79696.39,18.786056518554688,30,72668.44,39.412200927734375,17553.795,81.24243927001953,81840.22,23.04144096374512,17,82343.73,-0.6156713366508484,82060.125,12.01103687286377,89680.42,-4.778536319732666,1,full,,,,,,,,,,,,,,batch,16,1024,,,,,,,,,True,False,False,True,16.0,0.001,96.0,96.0,512.0,8.0,4.0,32.0,6.0,13.0,64.0,9.0,0.2
2024-08-18 00:02,9585.743,90.03392791748047,73778.9,34.430999755859375,83092.08,20.291343688964844,46,72562.18,36.26226806640625,24270.533,76.23909759521484,82374.09,22.581417083740234,16,79009.42,22.93166160583496,66601.49,37.42657852172852,91571.586,21.73505973815918,5,fullconv,mlp,seq_len,lr,,,last_d,,e_layers,pos_d,,conv_out_d,tok_d,,batch,8,1024,d,feat_conv_k,tok_conv_k,,,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 23:49,17318.34,82.11264038085938,80874.016,29.31239318847656,83268.18,0.951720654964447,19,77557.125,34.36623764038086,25367.443,72.85606384277344,81260.48,18.093706130981445,14,76961.9,25.281539916992188,49481.96,56.708797454833984,91841.16,35.65950012207031,5,fullconv,seq_len,use_pos,pos_d,d,hid_d,last_d,,,e_layers,,conv_out_d,feat_conv_k,0.1,batch,8,1024,,time_d,,tok_conv_k,,,,,,,,,,,,,,,,,,,,,
2024-08-17 23:18,9442.467,89.634033203125,68407.89,43.459754943847656,79992.17,22.201391220092773,50,67410.94,41.44472122192383,12460.272,84.93347930908203,78557.4,17.95262336730957,39,76922.695,34.28114700317383,22443.844,74.31867980957031,72301.82,50.58073425292969,20,conv_mlpconv,seq_len,use_pos,lr,,,last_d,,,e_layers,tok_conv_k,conv_out_d,,0.1,batch,32,1024,d,time_d,pos_d,,,,feat_conv_k,,,,,,,,,,,,,,,,,,
