exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout,norm_type,num_heads,bs
2024-08-18 16:24,17689.3,80.92133331298828,72120.195,42.13720703125,96796.31,-19.448963165283203,37,76850.48,18.92417907714844,55845.348,21.91918563842773,103953.24,-45.98231506347656,23,80306.19,4.638424396514893,82175.055,15.993048667907717,88880.28,-0.3966822624206543,1,none   ,True,False,False,False,36,0.003,16,48,256,32,16,16,8,11,128,11,0.2,batch,48,1024
2024-08-18 15:55,10792.201,88.22830200195312,77711.445,30.04120445251465,77559.08,23.17803955078125,33,76199.34,35.76292419433594,12487.467,86.6243667602539,77706.125,20.92579460144043,30,79746.945,19.66579246520996,21940.05,74.31969451904297,71067.164,40.711421966552734,18,conv_mlp,True,False,True,False,36,0.003,64,96,256,16,4,8,8,11,128,9,0.2,layer,4,1024
2024-08-18 01:57,7531.2324,92.35798645019533,73341.89,38.74623489379883,75842.67,17.0132999420166,35,72543.17,39.49307632446289,13920.946,85.83349609375,74229.62,22.09345054626465,22,73974.36,19.423355102539062,25107.355,75.96785736083984,92837.74,26.667863845825195,7,conv_mlp,True,False,False,False,16,0.0008,64,48,128,16,16,16,6,11,128,13,0.1,batch,4,1024
2024-08-18 15:50,17067.973,83.24382781982422,103088.0,28.41875648498535,74403.25,17.75130844116211,19,82188.305,42.92060470581055,38118.996,62.84628677368164,76476.44,40.10578155517578,5,72185.164,22.83329391479492,59293.203,40.97522735595703,79325.56,23.501819610595703,4,conv_mlp,True,False,False,False,36,0.003,64,96,256,16,8,16,2,9,256,11,0.1,batch,32,1024
2024-08-18 01:49,8157.9414,91.18824005126952,78733.06,37.461124420166016,75560.11,21.702821731567383,39,71534.44,35.148277282714844,18904.516,78.94882202148438,78056.414,7.619699478149414,24,71176.98,29.38295555114746,17420.543,80.49760437011719,74614.05,41.565128326416016,18,conv_mlp,True,False,True,True,16,0.005,64,48,128,16,4,8,6,11,64,9,0.1,layer,16,1024
2024-08-18 06:04,10096.128,89.68993377685547,73730.35,41.40234756469727,74924.734,25.788454055786133,41,73483.836,39.07736587524414,14395.764,85.64067077636719,76436.07,26.72605323791504,27,74277.336,28.397380828857425,60053.3,44.62615203857422,80210.82,27.320920944213867,8,none   ,True,False,True,True,16,0.001,96,64,256,32,8,8,6,5,128,13,0.1,batch,4,1024
2024-08-18 11:13,12925.796,85.61431121826172,83640.45,22.529497146606445,81569.01,15.188215255737305,27,89770.85,-5.1361613273620605,82064.58,11.700895309448242,82452.664,-1.0122836828231812,1,82452.664,-1.0122836828231812,82064.58,11.700895309448242,89770.85,-5.1361613273620605,1,full,True,False,False,True,16,0.003,48,96,256,32,8,16,12,5,64,11,0.1,layer,16,1024
2024-08-18 02:15,9877.673,89.1864242553711,73268.29,40.73047256469727,73688.945,29.704914093017575,31,68110.875,43.63139724731445,26183.13,77.10420989990234,78833.16,25.77986717224121,16,72966.58,23.017986297607425,16724.637,83.34097290039062,72688.375,39.441043853759766,24,conv_mlp,True,False,True,True,16,0.005,64,48,256,64,4,8,6,9,128,11,0.2,layer,16,1024
2024-08-18 11:28,10708.117,88.91620635986328,70115.39,46.94813919067383,74484.58,42.101470947265625,50,71108.76,46.6079216003418,13282.844,86.7210922241211,74663.734,40.44285583496094,37,71112.62,40.53971481323242,14649.228,81.87638854980469,69827.52,43.81053161621094,36,none   ,True,False,False,False,16,0.001,64,96,128,32,4,16,8,9,128,11,0.1,layer,16,1024
2024-08-18 07:03,76880.02,21.087745666503903,86903.72,4.098221778869629,80002.875,9.460237503051758,14,79059.164,44.1997184753418,82193.125,45.35611724853516,85667.94,49.58598709106445,10,82250.04,0.226587101817131,82357.836,12.332235336303713,89620.07,-4.285976409912109,15,none   ,True,False,False,False,16,0.003,16,48,128,96,4,4,12,5,64,11,0.2,layer,48,1024
2024-08-18 03:25,20672.0,79.25801849365234,81356.16,41.16217422485352,74191.42,32.05867385864258,16,82314.445,45.96573257446289,34854.39,65.73168182373047,75104.625,31.10650062561035,5,75104.625,31.10650062561035,34854.39,65.73168182373047,82314.445,45.96573257446289,5,full,True,False,False,True,16,0.005,96,96,256,16,8,16,8,11,64,9,0.2,batch,16,1024
2024-08-18 07:36,17813.988,80.9729995727539,89278.43,28.1748046875,72533.63,16.83378791809082,19,88523.46,0.3031397759914398,82170.445,16.730436325073242,80925.11,5.043335914611816,1,79670.36,26.0206356048584,32849.066,71.44967651367188,293649.5,-17.399032592773438,6,full,True,False,True,True,16,0.0008,96,64,256,32,16,4,8,11,128,9,0.2,layer,8,1024
2024-08-18 04:57,13845.209,85.25020599365234,78105.25,40.38330841064453,84866.69,28.92712783813477,47,76607.195,38.55842590332031,19375.4,80.24491119384766,81457.53,33.21556091308594,34,82857.44,-2.452723979949951,82090.77,10.53693962097168,90107.414,-6.435400009155273,1,none   ,True,False,True,False,16,0.001,48,48,128,16,16,8,12,5,64,11,0.2,batch,4,1024
2024-08-18 03:02,68447.32,25.22287368774414,91805.1,32.95356750488281,101119.29,-7.340368747711182,5,88829.4,-1.1465601921081543,82107.234,15.37981414794922,81304.71,3.4249796867370605,1,81304.71,3.4249796867370605,82107.234,15.37981414794922,88829.4,-1.1465601921081543,1,full,True,False,True,False,16,0.005,64,96,256,8,4,8,12,5,64,9,0.1,layer,4,1024
2024-08-18 02:20,62071.03,50.22820281982422,81768.59,46.91913604736328,81569.11,43.73962020874024,21,89639.984,-4.6154375076293945,82059.51,12.20488452911377,82294.58,-0.4343861639499664,1,82294.58,-0.4343861639499664,82059.51,12.20488452911377,89639.984,-4.6154375076293945,1,none   ,True,False,True,True,16,0.0008,16,96,256,8,8,8,12,5,128,13,0.1,layer,16,1024
2024-08-18 02:22,6470.26,93.05755615234376,65784.88,44.250465393066406,80950.47,23.041919708251957,42,63602.117,46.78227615356445,16226.387,83.21253204345703,80661.836,15.589932441711426,22,78887.15,41.368350982666016,37644.75,60.74501037597656,100248.125,37.59561920166016,7,conv_mlp,True,False,True,True,16,0.0008,16,48,256,32,16,16,8,11,64,11,0.1,layer,16,1024
2024-08-18 11:04,9639.777,89.99234771728516,76992.17,31.9965763092041,78315.336,15.083361625671388,36,72320.6,41.86687088012695,18860.066,81.20854949951172,78934.3,23.77997398376465,20,79569.71,11.895798683166504,82734.68,22.15173721313477,87467.0,6.403849124908447,1,full,True,False,False,False,16,0.0008,96,48,128,32,4,16,12,9,128,9,0.2,batch,4,1024
