exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,v_splt,y_ord,d,hd,ld,tok_d,time_d,pos_d,lyrs,n_heads,conv_d,tok_kern,feat_kern,norm_typ,skp_mod,use_pos_enc,seq_len,mlp_norm,ep,bs,lr,dp,w_decay
2024-08-23 12:58,14762.629936415971,85.98426818847656,76264.46870974055,43.19295883178711,83064.69377462844,30.94816780090332,22,68674.38956002082,38.33538436889648,41788.27750779653,64.4297866821289,83676.17465121721,10.626447677612305,8,73096.13407861175,30.20648956298828,59397.9513779219,50.12881851196289,74127.662164278,31.247974395751957,6,0.2,0.38,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.004,0.14,0.0001
2024-08-23 09:55,40158.32006377609,50.17994689941406,94487.23097826744,14.791220664978027,89998.98820719779,14.404183387756348,19,116567.9539903268,-82.22377014160156,99286.70554632538,-46.7615852355957,112361.71283122024,-74.9502182006836,1,112361.71283122024,-74.9502182006836,99286.70554632538,-46.7615852355957,116567.9539903268,-82.22377014160156,1,0.2,3.32,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0062,0.16,0.0001
2024-08-23 10:12,30198.529983563792,61.07770919799805,79670.03531503145,35.43996047973633,74196.25628561892,33.3646354675293,18,99689.32820046612,-45.82366943359375,86395.87083758057,-14.83478546142578,93928.69593800008,-37.31228256225586,1,93928.69593800008,-37.31228256225586,86395.87083758057,-14.83478546142578,99689.32820046612,-45.82366943359375,1,0.2,2.6,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0022,0.18,0.0001
2024-08-23 10:27,25684.370804890288,67.82884216308594,81837.68812141371,15.107500076293944,76121.9731145073,27.78458595275879,17,101382.28558903202,-49.98623275756836,87496.04396055358,-18.40733337402344,95793.32009552576,-41.58381271362305,1,82678.60861708112,29.082881927490234,35375.727908277644,54.77816009521485,96404.46056207675,14.791101455688477,16,0.2,2.02,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0032,0.16,0.0001
2024-08-23 13:08,11474.09954410025,87.3572006225586,76528.04645673187,46.65014266967773,75978.7639090446,34.85593795776367,33,70175.45809182712,48.633636474609375,20491.563054870134,80.06452178955078,73570.9972211665,31.275379180908203,20,73042.58878475454,33.8081169128418,19246.83636183737,83.2318115234375,73569.10611858091,47.406715393066406,26,0.2,0.9,64,64,64,8,16,32,7,4,64,7,11,layer,none,True,8,True,50,1024,0.003,0.14,0.0001
2024-08-23 12:08,8635.125145047235,91.04476928710938,77621.46271634185,42.104923248291016,70140.9798704952,27.09227752685547,38,74572.06424041683,43.82570266723633,12281.147097296624,86.89501190185547,69830.68495755518,17.356788635253906,24,69160.84342617182,19.23084831237793,18919.49854411449,81.18826293945312,77941.43155922348,33.00772476196289,17,0.2,0.98,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0046,0.14,0.0001
2024-08-23 11:24,13131.037238078396,87.45685577392578,71660.06323486981,49.10499954223633,77286.0249534055,35.80580520629883,22,73094.7540064852,33.23188400268555,69340.0173692419,40.44929122924805,85777.39474672345,11.062299728393556,8,70856.6360380521,28.954744338989254,24029.252354576416,80.73139953613281,71369.54163145566,41.941009521484375,19,0.2,0.72,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0052,0.18,0.0001
2024-08-23 10:45,8567.269878639143,88.81893157958984,69254.22464223173,26.987594604492188,71586.79814643331,15.93160629272461,48,69222.96620620186,26.463037490844727,8597.045190020452,88.75214385986328,71772.76135083422,14.934980392456056,50,71660.33814075822,16.204696655273438,8907.639518539705,88.50753784179688,69537.35068776831,27.07511711120605,42,0.2,1.58,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0024,0.2,0.0001
2024-08-23 09:46,21871.91453251263,70.93070983886719,74734.8317543937,33.88579559326172,72786.21419795172,29.89102554321289,19,101238.34175214628,-49.64765167236328,87406.60472919984,-18.133771896362305,95646.97857507093,-41.25654602050781,1,95646.97857507093,-41.25654602050781,87406.60472919984,-18.133771896362305,101238.34175214628,-49.64765167236328,1,0.2,2.42,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0049,0.16,0.0001
2024-08-23 11:50,23458.50924456148,69.7823257446289,81200.58363986127,40.23278427124024,83801.27853779543,29.402976989746094,17,88140.08166360162,24.12255477905273,55770.95205868274,46.27384948730469,88608.12305244648,18.118757247924805,7,86481.17324662107,-17.97225570678711,82878.51892650608,1.093769073486328,93076.79074908304,-27.042888641357425,1,0.2,1.32,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0053,0.18,0.0001
