exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,test_rmse_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,test_rmse_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,val_rmse_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-16 20:53,243.38373,-93.37154388427734,450.00015,296.894,9,12144.762,-5870.1494140625,18732.482,17607.37,1,489.99277,-256.0819396972656,483.16263,516.90857,10,16,0.2,32,128,128,64,12,add,1100
2024-07-17 08:29,234.6664,-38.240509033203125,518.93555,313.01428,14,424.17117,-161.62786865234375,239.67061,286.48993,12,302.1744,-3.217095136642456,233.5881,487.18744,13,24,0.2,32,256,32,32,2,add,1100
2024-07-17 03:38,465.6719,-4.832334041595459,531.9005,479.84183,7,571.25256,-123.3074951171875,960.0748,895.86176,2,895.86176,-101.2917251586914,960.0748,571.25256,2,24,0.08,32,64,64,64,8,add,1100
2024-07-16 21:44,207.06836,49.16878128051758,441.44223,270.62167,16,489.2734,-271.00701904296875,426.22272,439.71204,1,270.62167,2.589472770690918,207.06836,441.44223,16,8,0.05,32,64,32,64,6,add,1100
2024-07-17 02:32,305.78333,-26.68430519104004,418.40823,332.18622,8,2189.7434,-2714.614013671875,5271.979,4815.918,9,4815.918,-1533.7821044921875,5271.979,2189.7434,9,8,0.2,32,128,512,32,12,add,1100
2024-07-16 21:34,323.9461,-16.637649536132812,495.20187,365.38132,7,423.1002,-66.77665710449219,423.51486,423.89865,2,402.26813,-26.91987609863281,392.7697,435.5252,4,24,0.2,32,64,32,32,2,add,1100
2024-07-17 05:24,444.59946,7.22675895690918,573.3389,473.67258,9,575.02783,-288.5959167480469,557.9276,561.79535,1,341.90863,-0.6504148840904236,267.8774,543.91986,8,16,0.18,32,64,128,32,8,add,1100
2024-07-16 20:47,473.79285,-406.590576171875,531.5872,485.77475,9,425.95157,-46.12828063964844,311.03033,337.9332,7,485.77475,-291.2004699707031,473.79285,531.5872,9,16,0.2,32,128,128,64,2,add,1100
2024-07-17 03:50,573.9281,-175.0807647705078,436.82187,549.3433,8,416.78668,-83.07642364501953,262.17993,300.14273,7,300.14273,-43.91833114624024,262.17993,416.78668,7,24,0.2,32,128,512,32,2,add,1100
2024-07-17 03:06,277.74713,-13.950105667114258,428.3675,314.0365,10,425.79642,-191.5611724853516,280.0098,314.74625,9,314.74625,-62.12853240966797,280.0098,425.79642,9,16,0.15,32,64,64,64,2,add,1100
2024-07-17 01:45,367.47195,-125.61565399169922,451.088,385.72397,10,451.088,-202.68783569335935,367.47195,385.72397,10,385.72397,-85.44100189208984,367.47195,451.088,10,24,0.18,32,64,64,32,4,add,1100
2024-07-16 22:12,175.37897,14.596982955932615,495.36343,271.92722,15,421.49503,-153.07383728027344,215.47289,269.96872,10,271.741,6.613081932067871,206.34912,444.3381,11,8,0.18,32,64,32,64,2,add,1100
2024-07-17 07:48,182.5472,39.20960235595703,453.66586,261.44138,17,448.4509,-305.8941650390625,191.0469,263.49677,12,261.44138,10.535684585571287,182.5472,453.66586,17,24,0.05,32,256,32,32,6,add,1100
2024-07-17 07:27,241.13829,26.493927001953125,488.34882,307.91083,12,462.9494,-171.0409698486328,266.34335,315.71826,11,315.71826,-30.02172088623047,266.34335,462.9494,11,16,0.15,32,256,32,32,12,add,1100
2024-07-17 01:47,268.11133,-104.40340423583984,434.85986,308.995,8,511.82144,-252.05519104003903,515.0837,514.59143,9,514.59143,-58.1015739440918,515.0837,511.82144,9,24,0.18,32,64,64,32,8,add,1100
